NAME_0,NAME_1,NAME_2,NAME_3,Unique,Website
China,Gansu,Jiuquan,Anxi,"Anxi, Jiuquan",https://bj.zufang.leju.com/
China,Fujian,Quanzhou,Anxi,"Anxi, Quanzhou",
China,Chongqing,Chongqing,Ba,"Ba, Chongqing",
China,Hebei,Langfang,Ba,"Ba, Langfang",
China,Xinjiang Uygur,Aksu,Baicheng,"Baicheng, Aksu",
China,Jilin,Baicheng,Baicheng,"Baicheng, Baicheng",
China,Yunnan,Baoshan,Baoshan,"Baoshan, Baoshan",
China,Shanghai,Shanghai,Baoshan,"Baoshan, Shanghai",
China,Heilongjiang,Harbin,Bin,"Bin, Harbin",
China,Shaanxi,Xianyang,Bin,"Bin, Xianyang",
China,Fujian,Fuzhou,Changle,"Changle, Fuzhou",
China,Shandong,Weifang,Changle,"Changle, Weifang",
China,Yunnan,Baoshan,Changning,"Changning, Baoshan",
China,Hunan,Hengyang,Changning,"Changning, Hengyang",
China,Sichuan,Yibin,Changning,"Changning, Yibin",
China,Jiangsu,Changzhou,Changzhou,"Changzhou, Changzhou",
China,Guangxi,Chongzuo,Changzhou,"Changzhou, Chongzuo",
China,Sichuan,Chengdu,Chongqing,"Chongqing, Chengdu",
China,Chongqing,Chongqing,Chongqing,"Chongqing, Chongqing",
China,Yunnan,Dali Bai,Dali,"Dali, Dali Bai",
China,Shaanxi,Weinan,Dali,"Dali, Weinan",
China,Sichuan,Garzê Tibetan,Dawu,"Dawu, Garzê Tibetan",
China,Hubei,Xiaogan,Dawu,"Dawu, Xiaogan",
China,Zhejiang,Huzhou,Deqing,"Deqing, Huzhou",
China,Guangdong,Zhaoqing,Deqing,"Deqing, Zhaoqing",
China,Jiangxi,Fuzhou,Dongxiang,"Dongxiang, Fuzhou",
China,Gansu,Linxia Hui,Dongxiang,"Dongxiang, Linxia Hui",
China,Guangdong,Dongguan,Dongyuan,"Dongyuan, Dongguan",
China,Guangdong,Heyuan,Dongyuan,"Dongyuan, Heyuan",
China,Guangxi,Fangchenggang,Fangcheng,"Fangcheng, Fangchenggang",
China,Henan,Nanyang,Fangcheng,"Fangcheng, Nanyang",
China,Beijing,Beijing,Fangshan,"Fangshan, Beijing",
China,Shanxi,Luliang,Fangshan,"Fangshan, Luliang",
China,Shaanxi,Baoji,Feng,"Feng, Baoji",
China,Jiangsu,Xuzhou,Feng,"Feng, Xuzhou",
China,Liaoning,Dandong,Fengcheng,"Fengcheng, Dandong",
China,Jiangxi,Yichun,Fengcheng,"Fengcheng, Yichun",
China,Hebei,Qinhuangdao,Funing,"Funing, Qinhuangdao",
China,Yunnan,Wenshan Zhuang and Miao,Funing,"Funing, Wenshan Zhuang and Miao",
China,Jiangsu,Yancheng,Funing,"Funing, Yancheng",
China,Hebei,Baoding,Fuping,"Fuping, Baoding",
China,Shaanxi,Weinan,Fuping,"Fuping, Weinan",
China,Shanxi,Linfen,Fushan,"Fushan, Linfen",
China,Shandong,Yantai,Fushan,"Fushan, Yantai",
China,Liaoning,Fushun,Fushun,"Fushun, Fushun",
China,Sichuan,Zigong,Fushun,"Fushun, Zigong",
China,Anhui,Fuyang,Fuyang,"Fuyang, Fuyang",
China,Zhejiang,Hangzhou,Fuyang,"Fuyang, Hangzhou",
China,Heilongjiang,Qiqihar,Fuyu,"Fuyu, Qiqihar",
China,Jilin,Songyuan,Fuyu,"Fuyu, Songyuan",
China,Heilongjiang,Jiamusi,Fuyuan,"Fuyuan, Jiamusi",
China,Yunnan,Qujing,Fuyuan,"Fuyuan, Qujing",
China,Qinghai,Gyêgu Tibetan,Golmud,"Golmud, Gyêgu Tibetan",
