link,cityname,cityname_pinyin
http://bj.zufang.leju.com/house/,北京,beijing
http://cq.zufang.leju.com/house/,重庆,chongqing
http://sh.zufang.leju.com/house/,上海,shanghai
http://tj.zufang.leju.com/house/,天津,tianjin
http://hf.zufang.leju.com/house/,合肥,hefei
http://wuhu.zufang.leju.com/house/,芜湖,wuhu
http://xuancheng.zufang.leju.com/house/,宣城,xuancheng
http://szh.zufang.leju.com/house/,宿州,suzhou
http://tongling.zufang.leju.com/house/,铜陵,tongling
http://mas.zufang.leju.com/house/,马鞍山,maanshan
http://la.zufang.leju.com/house/,六安,luan
http://huangshan.zufang.leju.com/house/,黄山,huangshan
http://huainan.zufang.leju.com/house/,淮南,huainan
http://huaibei.zufang.leju.com/house/,淮北,huaibei
http://fuyang.zufang.leju.com/house/,阜阳,fuyang
http://chuzhou.zufang.leju.com/house/,滁州,chuzhou
http://chizhou.zufang.leju.com/house/,池州,chizhou
http://chaohu.zufang.leju.com/house/,巢湖,chaohu
http://bozhou.zufang.leju.com/house/,亳州,bozhou
http://bengbu.zufang.leju.com/house/,蚌埠,bengbu
http://anqing.zufang.leju.com/house/,安庆,anqing
http://fz.zufang.leju.com/house/,福州,fuzhou
http://xm.zufang.leju.com/house/,厦门,xiamen
http://zhangzhou.zufang.leju.com/house/,漳州,zhangzhou
http://sanming.zufang.leju.com/house/,三明,sanming
http://quanzhou.zufang.leju.com/house/,泉州,quanzhou
http://putian.zufang.leju.com/house/,莆田,putian
http://ningde.zufang.leju.com/house/,宁德,ningde
http://nanping.zufang.leju.com/house/,南平,nanping
http://longyan.zufang.leju.com/house/,龙岩,longyan
http://lanzhou.zufang.leju.com/house/,兰州,lanzhou
http://wuwei.zufang.leju.com/house/,武威,wuwei
http://qingyang.zufang.leju.com/house/,庆阳,qingyang
http://tianshui.zufang.leju.com/house/,天水,tianshui
http://jiuquan.zufang.leju.com/house/,酒泉,jiuquan
http://zhangye.zufang.leju.com/house/,张掖,zhangye
http://baiyin.zufang.leju.com/house/,白银,baiyin
http://gz.zufang.leju.com/house/,广州,guangzhou
http://sz.zufang.leju.com/house/,深圳,shenzhen
http://huizhou.zufang.leju.com/house/,惠州,huizhou
http://dg.zufang.leju.com/house/,东莞,dongguan
http://zhuhai.zufang.leju.com/house/,珠海,zhuhai
http://fs.zufang.leju.com/house/,佛山,foshan
http://zhongshan.zufang.leju.com/house/,中山,zhongshan
http://zhaoqing.zufang.leju.com/house/,肇庆,zhaoqing
http://zhanjiang.zufang.leju.com/house/,湛江,zhanjiang
http://yunfu.zufang.leju.com/house/,云浮,yunfu
http://yangjiang.zufang.leju.com/house/,阳江,yangjiang
http://shaoguan.zufang.leju.com/house/,韶关,shaoguan
http://shanwei.zufang.leju.com/house/,汕尾,shanwei
http://shantou.zufang.leju.com/house/,汕头,shantou
http://qingyuan.zufang.leju.com/house/,清远,qingyuan
http://meizhou.zufang.leju.com/house/,梅州,meizhou
http://maoming.zufang.leju.com/house/,茂名,maoming
http://jieyang.zufang.leju.com/house/,揭阳,jieyang
http://jiangmen.zufang.leju.com/house/,江门,jiangmen
http://heyuan.zufang.leju.com/house/,河源,heyuan
http://nn.zufang.leju.com/house/,南宁,nanning
http://gl.zufang.leju.com/house/,桂林,guilin
http://gg.zufang.leju.com/house/,贵港,guigang
http://yulin.zufang.leju.com/house/,玉林,yulin
http://wuzhou.zufang.leju.com/house/,梧州,wuzhou
http://qinzhou.zufang.leju.com/house/,钦州,qinzhou
http://liuzhou.zufang.leju.com/house/,柳州,liuzhou
http://hezhou.zufang.leju.com/house/,贺州,hezhou
http://hechi.zufang.leju.com/house/,河池,hechi
http://fcg.zufang.leju.com/house/,防城港,fangchenggang
http://beihai.zufang.leju.com/house/,北海,beihai
http://gy.zufang.leju.com/house/,贵阳,guiyang
