districname,link,districname_pinyin,cityname,cityname_pinyin
不限,//jiaxing.zufang.leju.com/house/,none,,
嘉善,//jiaxing.zufang.leju.com/house/a16404/,none,,
南湖新区,//jiaxing.zufang.leju.com/house/a16414/,none,,nán hú xīn ōu
秀洲新区,//jiaxing.zufang.leju.com/house/a16418/,none,,
中心城区,//jiaxing.zufang.leju.com/house/a16422/,none,,
经济开发区,//jiaxing.zufang.leju.com/house/a16425/,none,,
运河新区,//jiaxing.zufang.leju.com/house/a16427/,none,,
国际商务区,//jiaxing.zufang.leju.com/house/a16429/,none,,
桐乡,//jiaxing.zufang.leju.com/house/a16432/,none,,
海宁,//jiaxing.zufang.leju.com/house/a16439/,none,,
平湖,//jiaxing.zufang.leju.com/house/a16445/,none,,
海盐,//jiaxing.zufang.leju.com/house/a16452/,none,,
其他,//jiaxing.zufang.leju.com/house/a16456/,none,,
不限,//shaoxing.zufang.leju.com/house/,none,,
越城区,//shaoxing.zufang.leju.com/house/a14654/,none,,
柯桥区,//shaoxing.zufang.leju.com/house/a14665/,none,,
镜湖新区,//shaoxing.zufang.leju.com/house/a14671/,none,,
袍江新区,//shaoxing.zufang.leju.com/house/a14674/,none,,
诸暨市,//shaoxing.zufang.leju.com/house/a14678/,none,,
上虞区,//shaoxing.zufang.leju.com/house/a14680/,none,,
嵊州市,//shaoxing.zufang.leju.com/house/a14682/,none,,
新昌县,//shaoxing.zufang.leju.com/house/a14684/,none,,
其他,//shaoxing.zufang.leju.com/house/a25406/,none,,
不限,//suihua.zufang.leju.com/house/,none,,
北林区,//suihua.zufang.leju.com/house/a14578/,none,,
望奎县,//suihua.zufang.leju.com/house/a14580/,none,,
兰西县,//suihua.zufang.leju.com/house/a14582/,none,,
青冈县,//suihua.zufang.leju.com/house/a14584/,none,,
庆安县,//suihua.zufang.leju.com/house/a14586/,none,,
明水县,//suihua.zufang.leju.com/house/a14588/,none,,
绥棱县,//suihua.zufang.leju.com/house/a14590/,none,,
安达市,//suihua.zufang.leju.com/house/a14592/,none,,
肇东市,//suihua.zufang.leju.com/house/a14594/,none,,
海伦市,//suihua.zufang.leju.com/house/a14596/,none,,
不限,//huzhou.zufang.leju.com/house/,none,,
吴兴区,//huzhou.zufang.leju.com/house/a16856/,none,,
南浔区,//huzhou.zufang.leju.com/house/a16867/,none,,
德清县,//huzhou.zufang.leju.com/house/a16869/,none,,
长兴县,//huzhou.zufang.leju.com/house/a16871/,none,,
安吉县,//huzhou.zufang.leju.com/house/a16873/,none,,
其他区县,//huzhou.zufang.leju.com/house/a16875/,none,,
不限,//quzhou.zufang.leju.com/house/,none,,
柯城,//quzhou.zufang.leju.com/house/a14975/,none,,
衢江,//quzhou.zufang.leju.com/house/a14984/,none,,
江山,//quzhou.zufang.leju.com/house/a14988/,none,,
龙游,//quzhou.zufang.leju.com/house/a14992/,none,,
常山,//quzhou.zufang.leju.com/house/a14995/,none,,
开化,//quzhou.zufang.leju.com/house/a14998/,none,,
不限,//qqhe.zufang.leju.com/house/,none,,
龙沙区,//qqhe.zufang.leju.com/house/a15099/,none,,
建华区,//qqhe.zufang.leju.com/house/a15101/,none,,
铁锋区,//qqhe.zufang.leju.com/house/a15103/,none,,
昂昂溪区,//qqhe.zufang.leju.com/house/a15105/,none,,
富拉尔基区,//qqhe.zufang.leju.com/house/a15107/,none,,
碾子山区,//qqhe.zufang.leju.com/house/a15109/,none,,
梅里斯达斡尔族区,//qqhe.zufang.leju.com/house/a15111/,none,,
龙江县,//qqhe.zufang.leju.com/house/a15113/,none,,
依安县,//qqhe.zufang.leju.com/house/a15115/,none,,
