disctrictname,pinyin
海淀,Haidian
朝阳,Chaoyang
东城,Dongcheng
西城,Xicheng
石景山,Shijingshan
丰台,Fengtai
通州,Tongzhou
昌平,Changping
大兴,Daxing
房山,Fangshan
延庆,Yanqing
密云,Miyun
门头沟,Mentougou
顺义,Shunyi
怀柔,Huairou
平谷,Pinggu
燕郊,Yanjiao
北京周边,Periphery of Beijing
江北,Jiangbei
渝北,Yubei
南岸,Nanan
渝中,Yuzhong
九龙坡,Jiulongpo
沙坪坝,Shapingba
大渡口,Dadukou
巴南,Banan
北碚,Beibei
江津,Jiangjin
万州,Wanzhou
武隆,Wulong
涪陵,Fuling
綦江,Qijiang
合川,Hechuan
长寿,longevity
其他区县,Others
其他省市旅游地产,Tourism real estate in other provinces and cities
浦东,Pudong
徐汇,Xuhui
闵行,Minhang
长宁,Changning
普陀,Putuo
宝山,Baoshan
虹口,Hongkou
松江,Songjiang
闸北,Zhabei
黄浦,Huangpu
静安,Jingan
杨浦,Yangpu
卢湾,Luwan
嘉定,Jiading
青浦,Qingpu
奉贤,Fengxian
金山,Jinshan
崇明,Chongming
上海周边,Perimeter of Shanghai
北辰,Beichen
东丽,toray
和平,peace
河北,Hebei
河东,Hedong
河西,Hexi
红桥,Hongqiao
津南,Jinnan
开发区,Kaifaqu
南开,Nankai
塘沽,Tanggu
西青,Xiqing
大港,Dagang
静海,Jinghai
蓟县,Jixian
武清,Wuqing
宁河,Ninghe
汉沽,Hangu
宝坻,Baodi
天津周边,Perimeter of Tianjin
中新生态城,Central and new ecological
庐阳区,luyang
包河区,Baohe
瑶海区,Yaohai
蜀山区,Shushan
高新区,Gaoxin
新站区,Xinzhan
经开区,Jingkai
政务区,Government
滨湖新区,Binhu
合肥周边,Perimeter of Hefei
巢湖市,Chaohu
镜湖区,Jinghu
弋江区,Yijiang
鸠江区,Jiujiang
三山区,sanshan
芜湖县,Wuhu
繁昌县,Fanchang
南陵县,Nanling
开发区,Kaifaqu
无为县,Wuwei
宣州区,xuanzhou
郎溪县,Langxi
广德县,Guangde
泾县,Jingxian
绩溪县,Jixi
旌德县,Jingde
宁国市,Ningguo
埇桥区,Yongqiao
砀山县,Dangshan
萧县,Xiaoxian
灵璧县,Lingbi
泗县,Sixian
铜官山区,Tongguanshan
狮子山区,Shizishan
经济开发区,economic development zone
铜陵县,Tongling
郊区,Suburb
当涂县,Dangtu
花山区,Huashan
雨山区,Yushan
金家庄,Jinjiazhuang
开发区,Kaifaqu
佳山,Jiashan
向山,Xiangshan
慈湖,Cihu
金安区,Jinan
裕安区,yu'an
霍邱县,Huoqiu
舒城县,Shucheng
金寨县,Jinzhai
霍山县,Huoshan
屯溪区,Tunxi
黄山区,huangshan
徽州区,Huizhou
歙县,Shexian
休宁县,Xiuning
黟县,Yixian
祁门县,Qimen
田家庵,Tianjiaan
大通,chase
谢家集,Xiejiaii
八公山,Bagongshan
凤台,Fengtai
潘集,Panii
毛集实验区,Mao Ji experimentation area
经济开发区,economic development zone
寿县,Shouxian
杜集区,Duji
相山区,Xiangshan
烈山区,Lieshan
濉溪县,Suixi
颍州区,Yingzhou
颍泉区,Yingquan
颍东区,Yingdong
经济开发区,economic development zone
城南新区,Chengnan
界首,Boundary
阜南,Funan
太和,Taihe
颍上,Yingshang
临泉,Linquan
琅琊区,Langya
南谯区,Nanqiao
明光市,Mingguang
全椒县,Quanjiao
来安县,Laian
凤阳县,Fengyang
定远县,Dingyuan
天长市,tianchang
滁州周边,Perimeter of Chuzhou
贵池区,Guichi
青阳县,Qingyang
东至县,Dongzhi
石台县,Shitai
居巢区,juchao
