NAME0,NAME1,NAME1_pinyin,NAME2,NAME2_pinyin,NAME3,LINK
China,北京,beijing,海淀,None,None,//bj.zufang.leju.com/house/a1/
China,北京,beijing,朝阳,None,None,//bj.zufang.leju.com/house/a42/
China,北京,beijing,东城,None,None,//bj.zufang.leju.com/house/a101/
China,北京,beijing,西城,None,None,//bj.zufang.leju.com/house/a113/
China,北京,beijing,石景山,None,None,//bj.zufang.leju.com/house/a132/
China,北京,beijing,丰台,None,None,//bj.zufang.leju.com/house/a155/
China,北京,beijing,通州,None,None,//bj.zufang.leju.com/house/a208/
China,北京,beijing,昌平,None,None,//bj.zufang.leju.com/house/a229/
China,北京,beijing,大兴,None,None,//bj.zufang.leju.com/house/a244/
China,北京,beijing,房山,None,None,//bj.zufang.leju.com/house/a249/
China,北京,beijing,延庆,None,None,//bj.zufang.leju.com/house/a260/
China,北京,beijing,密云,None,None,//bj.zufang.leju.com/house/a262/
China,北京,beijing,门头沟,None,None,//bj.zufang.leju.com/house/a264/
China,北京,beijing,顺义,None,None,//bj.zufang.leju.com/house/a267/
China,北京,beijing,怀柔,None,None,//bj.zufang.leju.com/house/a277/
China,北京,beijing,平谷,None,None,//bj.zufang.leju.com/house/a279/
China,北京,beijing,燕郊,None,None,//bj.zufang.leju.com/house/a281/
China,北京,beijing,北京周边,None,None,//bj.zufang.leju.com/house/a6328/
China,重庆,chongqing,江北,None,None,//cq.zufang.leju.com/house/a576/
China,重庆,chongqing,渝北,None,None,//cq.zufang.leju.com/house/a515/
China,重庆,chongqing,南岸,None,None,//cq.zufang.leju.com/house/a551/
China,重庆,chongqing,渝中,None,None,//cq.zufang.leju.com/house/a501/
China,重庆,chongqing,九龙坡,None,None,//cq.zufang.leju.com/house/a563/
China,重庆,chongqing,沙坪坝,None,None,//cq.zufang.leju.com/house/a533/
China,重庆,chongqing,大渡口,None,None,//cq.zufang.leju.com/house/a590/
China,重庆,chongqing,巴南,None,None,//cq.zufang.leju.com/house/a595/
China,重庆,chongqing,北碚,None,None,//cq.zufang.leju.com/house/a600/
China,重庆,chongqing,江津,None,None,//cq.zufang.leju.com/house/a19189/
China,重庆,chongqing,万州,None,None,//cq.zufang.leju.com/house/a637/
China,重庆,chongqing,武隆,None,None,//cq.zufang.leju.com/house/a633/
China,重庆,chongqing,涪陵,None,None,//cq.zufang.leju.com/house/a613/
China,重庆,chongqing,綦江,None,None,//cq.zufang.leju.com/house/a625/
China,重庆,chongqing,合川,None,None,//cq.zufang.leju.com/house/a615/
China,重庆,chongqing,长寿,None,None,//cq.zufang.leju.com/house/a607/
China,重庆,chongqing,其他区县,None,None,//cq.zufang.leju.com/house/a5324/
China,重庆,chongqing,其他省市旅游地产,None,None,//cq.zufang.leju.com/house/a5873/
China,上海,shanghai,浦东,None,None,//sh.zufang.leju.com/house/a3167/
China,上海,shanghai,徐汇,None,None,//sh.zufang.leju.com/house/a3191/
China,上海,shanghai,闵行,None,None,//sh.zufang.leju.com/house/a3208/
China,上海,shanghai,长宁,None,None,//sh.zufang.leju.com/house/a3229/
China,上海,shanghai,普陀,None,None,//sh.zufang.leju.com/house/a3239/
China,上海,shanghai,宝山,None,None,//sh.zufang.leju.com/house/a3253/
China,上海,shanghai,虹口,None,None,//sh.zufang.leju.com/house/a3272/
China,上海,shanghai,松江,None,None,//sh.zufang.leju.com/house/a3281/
China,上海,shanghai,闸北,None,None,//sh.zufang.leju.com/house/a3290/
China,上海,shanghai,黄浦,None,None,//sh.zufang.leju.com/house/a3299/
China,上海,shanghai,静安,None,None,//sh.zufang.leju.com/house/a3309/
China,上海,shanghai,杨浦,None,None,//sh.zufang.leju.com/house/a3314/
China,上海,shanghai,卢湾,None,None,//sh.zufang.leju.com/house/a3325/
China,上海,shanghai,嘉定,None,None,//sh.zufang.leju.com/house/a3341/
China,上海,shanghai,青浦,None,None,//sh.zufang.leju.com/house/a3350/
China,上海,shanghai,奉贤,None,None,//sh.zufang.leju.com/house/a3359/
China,上海,shanghai,金山,None,None,//sh.zufang.leju.com/house/a3368/
China,上海,shanghai,崇明,None,None,//sh.zufang.leju.com/house/a3376/
China,上海,shanghai,上海周边,None,None,//sh.zufang.leju.com/house/a3383/
China,天津,tianjin,北辰,None,None,//tj.zufang.leju.com/house/a4264/
China,天津,tianjin,东丽,None,None,//tj.zufang.leju.com/house/a4281/
China,天津,tianjin,和平,None,None,//tj.zufang.leju.com/house/a4295/
China,天津,tianjin,河北,None,None,//tj.zufang.leju.com/house/a4302/
China,天津,tianjin,河东,None,None,//tj.zufang.leju.com/house/a4317/
China,天津,tianjin,河西,None,None,//tj.zufang.leju.com/house/a4338/
China,天津,tianjin,红桥,None,None,//tj.zufang.leju.com/house/a4355/
China,天津,tianjin,津南,None,None,//tj.zufang.leju.com/house/a4368/
China,天津,tianjin,开发区,None,None,//tj.zufang.leju.com/house/a4378/
China,天津,tianjin,南开,None,None,//tj.zufang.leju.com/house/a4386/
China,天津,tianjin,塘沽,None,None,//tj.zufang.leju.com/house/a4403/
China,天津,tianjin,西青,None,None,//tj.zufang.leju.com/house/a4422/
China,天津,tianjin,大港,None,None,//tj.zufang.leju.com/house/a4434/
China,天津,tianjin,静海,None,None,//tj.zufang.leju.com/house/a4443/
China,天津,tianjin,蓟县,None,None,//tj.zufang.leju.com/house/a4445/
China,天津,tianjin,武清,None,None,//tj.zufang.leju.com/house/a4447/
China,天津,tianjin,宁河,None,None,//tj.zufang.leju.com/house/a4449/
China,天津,tianjin,汉沽,None,None,//tj.zufang.leju.com/house/a4451/
China,天津,tianjin,宝坻,None,None,//tj.zufang.leju.com/house/a4453/
China,天津,tianjin,天津周边,None,None,//tj.zufang.leju.com/house/a19703/
China,天津,tianjin,中新生态城,None,None,//tj.zufang.leju.com/house/a25108/
China,合肥,hefei,庐阳区,None,None,//hf.zufang.leju.com/house/a1698/
China,合肥,hefei,包河区,None,None,//hf.zufang.leju.com/house/a1721/
China,合肥,hefei,瑶海区,None,None,//hf.zufang.leju.com/house/a1741/
