NAME0,NAME1,NAME1_pinyin,NAME2,NAME2_pinyin,NAME3,BEDROOMS,PRICE,LINK,DESCRIPTION
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",Studio,8,http://bj.zufang.leju.com/detail/273007728/#zn=pc-house-12,新出！大望路写字楼金地中心艺术设计，高层800平米
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",3,13000,http://bj.zufang.leju.com/detail/273006126/#zn=pc-house-13,亚运村小营路 育慧里 锦绣馨园 精装三居 来电有U惠 拎包住
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",2,22000,http://bj.zufang.leju.com/detail/273006421/#zn=pc-house-15,一个您来了就不想离开的社区 紧邻朝阳公园 感受人与自然的气息
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",2,7850,http://bj.zufang.leju.com/detail/273006145/#zn=pc-house-16,水立方鸟巢 奥林匹克东门 安苑里小关北里两居 拎包住随时看
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",3,13000,http://bj.zufang.leju.com/detail/273006124/#zn=pc-house-17,亚运村小营路 育慧里 锦绣馨园 精装三居 来电有U惠 拎包住
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",2,12000,http://bj.zufang.leju.com/detail/273006076/#zn=pc-house-18,牡丹园 306军院 音乐学院 鸟巢 华亭嘉园11600免
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",2,12000,http://bj.zufang.leju.com/detail/273006075/#zn=pc-house-19,牡丹园 306军院 音乐学院 鸟巢 华亭嘉园11600免
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",3,32000,http://bj.zufang.leju.com/detail/272935395/#zn=pc-house-20,泛海国际香海园+安静不临街+空房租+三居带三卫+保养好+初次租
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",2,16000,http://bj.zufang.leju.com/detail/273004943/#zn=pc-house-21,新出裘马都两居室，业主全新装修   家具家电齐全  随时起租
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",2,25000,http://bj.zufang.leju.com/detail/273004759/#zn=pc-house-24,C21 阳光上东 大户型两居 宽敞通透 温馨居家 可以看房
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",2,18000,http://bj.zufang.leju.com/detail/272757433/#zn=pc-house-25,凤凰汇 南向 双卫 两居室 随时看 随时住 视野开阔 安静 舒适
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",1,18000,http://bj.zufang.leju.com/detail/273004482/#zn=pc-house-27,C21 阳光上东 南向大一居 高层落地窗 采光 房况
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",3,8600,http://bj.zufang.leju.com/detail/273003256/#zn=pc-house-28,安贞北三环中路 安华桥 黄寺大街 安外安华西里三居拎包住
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",3,23000,http://bj.zufang.leju.com/detail/272591717/#zn=pc-house-29,户型方正 南北温馨时尚三居 中间层 看房有钥匙 随时住 24H 管
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",3,29500,http://bj.zufang.leju.com/detail/273002245/#zn=pc-house-30,新上 富力城**三居 双卧夹客厅朝南 南北双阳台 空房首次出租
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",3,46000,http://bj.zufang.leju.com/detail/273002063/#zn=pc-house-31,远洋万和公馆 南北3居室 **装修 家具家电齐全 看房有钥匙
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",3,37000,http://bj.zufang.leju.com/detail/273002036/#zn=pc-house-32,远洋万和公馆 新出三居室 带保姆间 尚好家私 近绿地 浦项
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",Studio,6,http://bj.zufang.leju.com/detail/272455976/#zn=pc-house-34,望京 酒仙桥 来广营 博雅国际 写字楼 精装随时用 交通便利
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",Studio,6,http://bj.zufang.leju.com/detail/272172110/#zn=pc-house-35,望京 来广营 博雅国际 写字楼 含物业含票 交通便利 随时交付
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",Studio,8,http://bj.zufang.leju.com/detail/272172267/#zn=pc-house-36,望京 来广营 整层起租写字楼 精装交付 交通便利  送免租
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",Studio,9,http://bj.zufang.leju.com/detail/272456172/#zn=pc-house-1,望京 来广营 整层2500米起租 精装写字楼 含物业含票 送车位
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",1,6100,http://bj.zufang.leju.com/detail/273001440/#zn=pc-house-2,太平庄南里两居室 东直门 东四十条 工体 三里屯 春秀路
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",2,7500,http://bj.zufang.leju.com/detail/273001392/#zn=pc-house-3,东直门 春秀路三里屯 首开国际幸福广场幸福二村精装两居随时看
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",1,5500,http://bj.zufang.leju.com/detail/273001371/#zn=pc-house-4,团结湖朝阳公园14团结湖北五条一居室有钥匙随时看
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",3,20000,http://bj.zufang.leju.com/detail/273000122/#zn=pc-house-5,金星园三居室，可居家可办公，全南向，看房随时，有钥匙
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",1,6800,http://bj.zufang.leju.com/detail/272999238/#zn=pc-house-6,朝青商圈 交通便利 花园小区 简单 南向 采光好
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",2,7000,http://bj.zufang.leju.com/detail/272999224/#zn=pc-house-7,青年路小区 2室1厅
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",1,6300,http://bj.zufang.leju.com/detail/272999211/#zn=pc-house-10,润枫水尚 1室0厅
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",1,6500,http://bj.zufang.leju.com/detail/272999202/#zn=pc-house-11,青年汇佳园 1室1厅
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",2,6600,http://bj.zufang.leju.com/detail/272999198/#zn=pc-house-12,青年路小区 2室1厅
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",2,6600,http://bj.zufang.leju.com/detail/272999188/#zn=pc-house-13,青年路小区 2室1厅
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",3,45000,http://bj.zufang.leju.com/detail/272998903/#zn=pc-house-15,C21 阳光上东高端区 一层带70平花园 3+1 矮板洋房
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",3,8300,http://bj.zufang.leju.com/detail/272996707/#zn=pc-house-17,望京 三居室 装修好 家具家电齐全 价格** 南湖东园
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",3,11000,http://bj.zufang.leju.com/detail/272996706/#zn=pc-house-18,四惠【东区国际】办公大三居 户型方正 照片真实，无中介费，
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",3,18000,http://bj.zufang.leju.com/detail/272996692/#zn=pc-house-19,四惠地铁【东区国际】大三居办公 户型好，南向，视野好，无中介
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",2,11000,http://bj.zufang.leju.com/detail/272996679/#zn=pc-house-21,四惠地铁【东区国际】欧式两居 南北向户型，无中介
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",3,13500,http://bj.zufang.leju.com/detail/272996658/#zn=pc-house-22,四惠地铁酒店大堂办公 高性价比 172平 随时看房，无中介
China,北京,Beijing,朝阳,Chaoyang,"Chaoyang, Beijing",3,13500,http://bj.zufang.leju.com/detail/272996647/#zn=pc-house-23,【【真房真价】CBD墅级办公环境 2.8天/平 随时看房 拒绝虚假
