NAME0,NAME1,NAME1_pinyin,NAME2,NAME2_pinyin,NAME3,BEDROOMS,PRICE,LINK,DESCRIPTION,LATITUDE,LONGITUDE
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",3,8300,http://bj.zufang.leju.com/detail/273019101/#zn=pc-house-1,中国房子精装三居室 一层紧邻地铁  全齐全配 等您来电,116.256286,39.936903
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",Studio,10,http://bj.zufang.leju.com/detail/271634541/#zn=pc-house-4,北三环知春路锦秋国际大厦出租,116.355801,39.981683
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",Studio,9.2,http://bj.zufang.leju.com/detail/271634549/#zn=pc-house-5,知春路锦秋国际大厦东向写字间出租,116.355801,39.981683
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",Studio,8,http://bj.zufang.leju.com/detail/272955731/#zn=pc-house-6,马甸桥 茅台大厦 开发商直租 **装修伶包入住 随时起租 视野佳,116.389556,39.976195
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",Studio,8,http://bj.zufang.leju.com/detail/272959513/#zn=pc-house-8,西北三环 国际财经花园桥地铁北80米400平精装招租,116.315587,39.941367
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",Studio,7,http://bj.zufang.leju.com/detail/272994795/#zn=pc-house-9,万寿路 200米项目 300平东向精装空置出租7元全含,116.292924,39.914184
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",Studio,7,http://bj.zufang.leju.com/detail/272974149/#zn=pc-house-10,西三环 车道沟旁优质写字楼1300平高层招租,None,None
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",Studio,6,http://bj.zufang.leju.com/detail/273043340/#zn=pc-house-11,西三环 车道沟旁优质写字楼1300平高层招租,116.298926,39.952926
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",Studio,7.5,http://bj.zufang.leju.com/detail/273043425/#zn=pc-house-12,望京  14号楼 来广营站太 *  大厦2520平出租,116.379662,39.993961
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",2,5500,http://bj.zufang.leju.com/detail/273019058/#zn=pc-house-13,海淀田村 阜石路与巨山路交叉口 精装修 两居室 随时看房,116.235916,39.932981
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",2,6200,http://bj.zufang.leju.com/detail/273019065/#zn=pc-house-14,海淀田村 西山洋房 精装小两居室 有钥匙 随时看房入住,116.235916,39.932981
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",3,6500,http://bj.zufang.leju.com/detail/273019074/#zn=pc-house-15,海淀田村阜石路巨山路 西山洋房 精装修 三居室 交通便利,116.235916,39.932981
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",1,4200,http://bj.zufang.leju.com/detail/273019076/#zn=pc-house-16,海淀西四环田村巨山路业主急租 精装一居 好房抓紧,116.235916,39.932981
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",2,5000,http://bj.zufang.leju.com/detail/273019082/#zn=pc-house-17,海淀田村 碧桐园 业主自住装修 随时看房 全齐 随时,116.235916,39.932981
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",3,8500,http://bj.zufang.leju.com/detail/273019092/#zn=pc-house-18,海淀田村 紧邻锦绣大地 可以办公可居家三居室 随时看房,116.235916,39.932981
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",3,8800,http://bj.zufang.leju.com/detail/273019094/#zn=pc-house-19,田村兰德华庭三居室 南北通透 家具家电齐全 高层视野好,116.256806,39.934142
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",3,8200,http://bj.zufang.leju.com/detail/273019096/#zn=pc-house-20,紧邻京粮广场正规精装三居室 着急出租 交通四通八达 **的一套,116.257265,39.936972
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",3,12000,http://bj.zufang.leju.com/detail/273019100/#zn=pc-house-21,乐府江南 临京粮物美地铁6号线 精装全齐 可长租急租,116.268571,39.933958
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",1,4300,http://bj.zufang.leju.com/detail/273019103/#zn=pc-house-22,田村玉泉路 新上椿楸嘉园  精装修 家具全齐一居 随时看房,None,None
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",1,4300,http://bj.zufang.leju.com/detail/273019107/#zn=pc-house-23,海淀田村 绿谷洋房 精装修 一居室 带直角阳台 采光好,116.235916,39.932981
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",1,4000,http://bj.zufang.leju.com/detail/273019108/#zn=pc-house-24,"海淀田村巨山路 西山洋房精装修一居,采光好,有钥匙",116.227,39.9359
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",1,4300,http://bj.zufang.leju.com/detail/273019113/#zn=pc-house-25,海淀田村 碧桐园 精装修一居室 家具家电齐全 交通便利,116.235916,39.932981
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",1,4600,http://bj.zufang.leju.com/detail/273019116/#zn=pc-house-26,海淀田村 碧桐园精装采光超好一居室急租 交通便利,116.235916,39.932981
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",3,8500,http://bj.zufang.leju.com/detail/273019124/#zn=pc-house-27,海淀田村 临近锦绣大地 欧式精装三居 采光好 看房随时,116.235916,39.932981
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",2,6100,http://bj.zufang.leju.com/detail/273019025/#zn=pc-house-28,海淀西四环外 田村西山洋房 精装小两居室 有钥匙看房随时,116.235916,39.932981
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",1,4500,http://bj.zufang.leju.com/detail/273019027/#zn=pc-house-29,"海淀田村国际城,精装双朝向一居,家电家具全齐,拎 包入住",116.235916,39.932981
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",2,6300,http://bj.zufang.leju.com/detail/273019029/#zn=pc-house-30,海淀田村阜石路 锦绣大地精装修 两居室 随时入住 家具家电,116.235916,39.932981
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",3,8500,http://bj.zufang.leju.com/detail/273019031/#zn=pc-house-31,"超**大三居急租超**,信息真实可靠新上房源,看房随时",116.256806,39.934142
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",2,6800,http://bj.zufang.leju.com/detail/273019035/#zn=pc-house-32,南北通透 精装修 落地窗 好房急租 舒适安静 拎包即住,116.256286,39.936903
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",2,5500,http://bj.zufang.leju.com/detail/273019037/#zn=pc-house-33,四季青 田村 西山国际城 田村 两居室 精装 有钥匙可随时看,116.235916,39.932981
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",1,4800,http://bj.zufang.leju.com/detail/273019039/#zn=pc-house-34,海淀田村 阜石路北紧邻锦绣大地正规一居出租 欧式装修,116.235916,39.932981
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",1,4500,http://bj.zufang.leju.com/detail/273019043/#zn=pc-house-35,海淀田村 锦绣大地附近一居室  业主急租,116.235916,39.932981
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",1,4800,http://bj.zufang.leju.com/detail/273019046/#zn=pc-house-36,田村 四季青 西山国际城 ** 一居室 有钥匙,116.235916,39.932981
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",1,5000,http://bj.zufang.leju.com/detail/273019047/#zn=pc-house-1,海淀田村  阜石路北锦绣大地旁 复试精装东向一居室,116.235916,39.932981
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",2,5800,http://bj.zufang.leju.com/detail/273019049/#zn=pc-house-2,锦绣大地旁 绿谷雅园新出南北两居室 看房随时 拎包住,116.224628,39.933735
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",1,4000,http://bj.zufang.leju.com/detail/273019050/#zn=pc-house-3,海淀田村 适宜居住繁华小区 正规一居室 为你而选,116.235916,39.932981
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",2,5000,http://bj.zufang.leju.com/detail/273019051/#zn=pc-house-4,海淀 田村西四环 碧桐园 欧式精装一改二 双卫朝阳 好房不多,116.235916,39.932981
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",1,4200,http://bj.zufang.leju.com/detail/273019053/#zn=pc-house-5,海淀田村 西山洋房具有书香气息精装一居室 看房方便随时联系我,116.235916,39.932981
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",2,6000,http://bj.zufang.leju.com/detail/272996910/#zn=pc-house-6,杏林湾 6000 舒适 西北旺 中关村软件园 用友 永丰 马连洼 1,None,None
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",2,5800,http://bj.zufang.leju.com/detail/272997513/#zn=pc-house-8,马连洼梅园 5800元 两居室 16号线 农大南路 中关村软件园 上,116.280609,40.035384
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",2,7000,http://bj.zufang.leju.com/detail/273020021/#zn=pc-house-10,杏林湾 大两居 7000 中关村软件园 永丰 马连洼 航天 西北旺,116.26211,40.084692
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",3,9600,http://bj.zufang.leju.com/detail/272984186/#zn=pc-house-11,当代城市家园 精齐 9600 三居室 西二旗 上地 马连洼 软件园,None,None
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",1,6000,http://bj.zufang.leju.com/detail/273047176/#zn=pc-house-12,安和园 1居室 6000  农大南路 天秀  肖家河 马连洼 西北旺,116.279636,40.026067
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",3,10000,http://bj.zufang.leju.com/detail/273047180/#zn=pc-house-13,安和园 133平大三居 10000 短租为主 天秀路 农大南路 马连,116.279636,40.026067
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",3,11000,http://bj.zufang.leju.com/detail/273047209/#zn=pc-house-14,百望家苑 11000 马连洼 16号线出口 西北旺 中关村软件园 农,116.274783,40.034889
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",3,13500,http://bj.zufang.leju.com/detail/273047213/#zn=pc-house-15,百望家苑 大三居 13500 马连洼 16号线 农大南路 中关村软件,116.274783,40.034889
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",1,3900,http://bj.zufang.leju.com/detail/262187895/#zn=pc-house-16, 精装婚房 出租 看房随时 拎包入住,116.313995,40.074783
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",2,7600,http://bj.zufang.leju.com/detail/272223156/#zn=pc-house-17,西直门 交大东路 大柳树路 大柳树甲17号院 精装两居室,116.341713,39.962902
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",3,2500,http://bj.zufang.leju.com/detail/272288992/#zn=pc-house-18,小南庄小区精美次卧出租、紧邻人民大学西门、紫金大厦、苏州街,116.312629,39.970057
China,北京,Beijing,海淀,Haidian,"Haidian, Beijing",1,5700,http://bj.zufang.leju.com/detail/271845326/#zn=pc-house-19,精装好房 中关村 友谊社区 南北通透不限租户 有钥匙看房随时,116.32246,39.9726
